Date,Category,Site Name,URL,Title,Description,Used by,Notes
16/03/2023,Learning sources - playbooks,portswigger.net,portswigger.net/web-security/all-materials,All learning materials | Web Security Academy,See detailed view Web Security Academy Put your recon skills to the test Getting started with the Web Security Academy What is prototype pollution? ...,,
16/03/2023,Learning sources - labs,portswigger.net,portswigger.net/web-security/all-labs,All labs | Web Security Academy,Mystery lab challenge Try solving a random lab with the title and description hidden. As you'll have no prior knowledge of the type of vulnerability that ...,,
16/03/2023,Learning sources - playbooks,Six2Dez,pentestbook.six2dez.com,/home/six2dez/.pentest-book,"This book contains a bunch of info, scripts and knowledge used during my pentests.",,
16/03/2023,Recon,GitHub,github.com/redhuntlabs/Awesome-Asset-Discovery,GitHub - redhuntlabs/Awesome-Asset-Discovery: List of Awesome Asset Discovery Resources,List of Awesome Asset Discovery Resources. Contribute to redhuntlabs/Awesome-Asset-Discovery development by creating an account on GitHub.,,
16/03/2023,Webshells,GitHub,github.com/wireghoul/htshells,GitHub - wireghoul/htshells: Self contained htaccess shells and attacks,Self contained htaccess shells and attacks. Contribute to wireghoul/htshells development by creating an account on GitHub.,,
16/03/2023,Webshells,GitHub,github.com/pureqh/webshell,GitHub - pureqh/webshell: 免杀webshell生成工具,免杀webshell生成工具. Contribute to pureqh/webshell development by creating an account on GitHub.,,
16/03/2023,General backdoors,GitHub,github.com/Coldzer0/ReverseSock5Proxy,GitHub - Coldzer0/ReverseSock5Proxy: A tiny Reverse Sock5 Proxy written in C :V,A tiny Reverse Sock5 Proxy written in C :V. Contribute to Coldzer0/ReverseSock5Proxy development by creating an account on GitHub.,,
16/03/2023,General backdoors,GitHub,github.com/Acebond/ReverseSocks5,GitHub - Acebond/ReverseSocks5: Single executable reverse socks5 proxy written in Golang.,Single executable reverse socks5 proxy written in Golang. - GitHub - Acebond/ReverseSocks5: Single executable reverse socks5 proxy written in Golang.,,
16/03/2023,Cheatsheets,Hacken,hacken.io/discover/how-to-bypass-waf-hackenproof-cheat-sheet,How to Bypass WAF. HackenProof Cheat Sheet - Hacken,What is WAF? Web application firewall (WAF) is a set of monitors and filters designed to detect and block network attacks on a web application. WAFs refer,,
16/03/2023,Web - fuzzing tools,GitHub,github.com/Brum3ns/firefly,GitHub - Brum3ns/firefly: Black box fuzzer for web applications,Black box fuzzer for web applications. Contribute to Brum3ns/firefly development by creating an account on GitHub.,,
16/03/2023,Webshells,GitHub,github.com/blackarrowsec/redteam-research/tree/master/Hanshell,redteam-research/Hanshell at master · blackarrowsec/redteam-research,Collection of PoC and offensive techniques used by the BlackArrow Red Team - redteam-research/Hanshell at master · blackarrowsec/redteam-research,,
16/03/2023,AV evasion,GitHub,github.com/blackarrowsec/redteam-research/tree/master/EDR_AV Bypass/Google Script Proxy,redteam-research/EDR_AV Bypass/Google Script Proxy at master · blackarrowsec/redteam-research,Collection of PoC and offensive techniques used by the BlackArrow Red Team - redteam-research/EDR_AV Bypass/Google Script Proxy at master · blackarrowsec/redteam-research,,
16/03/2023,Windows - PE,GitHub,github.com/blackarrowsec/redteam-research/tree/master/LPE via StorSvc,redteam-research/LPE via StorSvc at master · blackarrowsec/redteam-research,Collection of PoC and offensive techniques used by the BlackArrow Red Team - redteam-research/LPE via StorSvc at master · blackarrowsec/redteam-research,,
16/03/2023,Recon - osint,hunter.how,hunter.how/guide?s=08,Hunter Search Engine,Internet Search Engines For Security Researchers,,
16/03/2023,Webshells,GitHub,github.com/nccgroup/ABPTTS,GitHub - nccgroup/ABPTTS: TCP tunneling over HTTP/HTTPS for web application servers,TCP tunneling over HTTP/HTTPS for web application servers - GitHub - nccgroup/ABPTTS: TCP tunneling over HTTP/HTTPS for web application servers,,
16/03/2023,Networking,GitHub,github.com/c4s73r/HIVE,GitHub - c4s73r/HIVE: VLAN L2 Pivoting Instrument,VLAN L2 Pivoting Instrument. Contribute to c4s73r/HIVE development by creating an account on GitHub.,,
16/03/2023,Webshells,MakeMalware,makemalware.com/posts/kraken-fundamentals-1,Kraken Fundamentals - I,"Kraken is a tool for orchestrating webshells developed in PHP, Java and .NET. This is the first post of the Kraken Fundamentals series, where we will talk about how the tool is designed and how it works.",,
16/03/2023,Learning sources - playbooks,cloud.hacktricks.xyz,cloud.hacktricks.xyz/welcome/readme,HackTricks Cloud,"Welcome to the page where you will find each hacking trick/technique/whatever related to Infrastructure I have learnt in CTFs, real life environments, and reading researches and news.",,
16/03/2023,Cheatsheets,GitHub,github.com/OWASP/CheatSheetSeries,GitHub - OWASP/CheatSheetSeries: The OWASP Cheat Sheet Series was created to provide a concise collection of high value information on specific application security topics.,The OWASP Cheat Sheet Series was created to provide a concise collection of high value information on specific application security topics. - GitHub - OWASP/CheatSheetSeries: The OWASP Cheat Sheet ...,,
